,date,open,high,low,close,volume,bar_count,average
0,20170424,0.7569,0.75845,0.7539,0.757,,,
1,20170425,0.7568,0.7572,0.75205,0.75355,,,
2,20170426,0.7533,0.7557,0.7455,0.7474,,,
3,20170427,0.74735,0.74925,0.74405,0.74645,,,
4,20170428,0.74685,0.7491,0.7448,0.7489,,,
5,20170501,0.74835,0.75405,0.74745,0.7526,,,
6,20170502,0.75235,0.7556,0.75105,0.75355,,,
7,20170503,0.75355,0.7546,0.742,0.7423,,,
8,20170504,0.7421,0.74305,0.7383,0.74095,,,
9,20170505,0.7411,0.74265,0.73675,0.74175,,,
10,20170508,0.74135,0.74245,0.7378,0.73865,,,
11,20170509,0.7386,0.73985,0.7329,0.7344,,,
12,20170510,0.7346,0.73945,0.7339,0.73665,,,
13,20170511,0.73545,0.7383,0.7339,0.7379,,,
14,20170512,0.7373,0.7421,0.73685,0.7387,,,
15,20170515,0.7391,0.7446,0.7385,0.74135,,,
16,20170516,0.7415,0.74385,0.7395,0.7426,,,
17,20170517,0.74255,0.74435,0.7389,0.74315,,,
18,20170518,0.743,0.7467,0.74085,0.7419,,,
19,20170519,0.7419,0.747,0.74065,0.74595,,,
20,20170522,0.7447,0.7489,0.74355,0.7476,,,
21,20170523,0.74755,0.75175,0.74665,0.74775,,,
22,20170524,0.7484,0.75075,0.74425,0.75035,,,
23,20170525,0.7505,0.7516,0.7451,0.7454,,,
24,20170526,0.74555,0.74615,0.7422,0.74465,,,
25,20170529,0.74425,0.74505,0.7427,0.744,,,
26,20170530,0.7441,0.74695,0.74165,0.7465,,,
27,20170531,0.74655,0.7476,0.74245,0.74305,,,
28,20170601,0.74355,0.7455,0.7373,0.7374,,,
29,20170602,0.73745,0.7447,0.73745,0.7445,,,
30,20170605,0.74275,0.74985,0.74225,0.74865,,,
31,20170606,0.7486,0.7522,0.7457,0.7506,,,
32,20170607,0.7509,0.75665,0.75,0.75495,,,
33,20170608,0.75515,0.75545,0.7525,0.7546,,,
34,20170609,0.75285,0.75445,0.75195,0.75305,,,
35,20170612,0.7534,0.7547,0.7522,0.7541,,,
36,20170613,0.7541,0.7565,0.75245,0.75375,,,
37,20170614,0.75365,0.76355,0.75325,0.75885,,,
38,20170615,0.75925,0.76315,0.75685,0.7579,,,
39,20170616,0.75815,0.763,0.75765,0.76205,,,
40,20170619,0.7623,0.7629,0.7585,0.75975,,,
41,20170620,0.76045,0.7624,0.75705,0.758,,,
42,20170621,0.7581,0.7582,0.7543,0.7553,,,
43,20170622,0.7555,0.7562,0.75355,0.7541,,,
44,20170623,0.7541,0.7583,0.75385,0.75685,,,
45,20170626,0.7566,0.75995,0.7563,0.75855,,,
46,20170627,0.7584,0.76245,0.7577,0.7583,,,
47,20170628,0.7581,0.7645,0.75775,0.76395,,,
48,20170629,0.76365,0.7686,0.7635,0.76835,,,
49,20170630,0.76845,0.77125,0.7667,0.7688,,,
50,20170703,0.76865,0.76955,0.76445,0.7661,,,
51,20170704,0.76585,0.76835,0.75915,0.76045,,,
52,20170705,0.76045,0.7632,0.75715,0.76035,,,
53,20170706,0.7604,0.7615,0.7577,0.75855,,,
54,20170707,0.75845,0.76235,0.75725,0.76005,,,
55,20170710,0.75985,0.7615,0.75865,0.7606,,,
56,20170711,0.7605,0.76425,0.7603,0.76375,,,
57,20170712,0.76385,0.76855,0.7635,0.7678,,,
58,20170713,0.76785,0.774,0.76745,0.77305,,,
59,20170714,0.773,0.78345,0.77265,0.78275,,,
60,20170717,0.78305,0.78385,0.77925,0.7801,,,
61,20170718,0.7797,0.7943,0.77865,0.79165,,,
62,20170719,0.7915,0.7959,0.79095,0.79525,,,
63,20170720,0.7953,0.79885,0.78975,0.7958,,,
64,20170721,0.7956,0.79595,0.7875,0.79155,,,
65,20170724,0.79075,0.79675,0.79035,0.7924,,,
66,20170725,0.7925,0.79705,0.79025,0.7937,,,
67,20170726,0.7939,0.8014,0.7878,0.8006,,,
68,20170727,0.80055,0.8066,0.79565,0.79665,,,
69,20170728,0.79685,0.80075,0.7937,0.79875,,,
70,20170731,0.79835,0.80045,0.79565,0.80025,,,
71,20170801,0.80025,0.80435,0.7961,0.79685,,,
72,20170802,0.7968,0.7993,0.79415,0.7967,,,
73,20170803,0.79665,0.7969,0.79145,0.79495,,,
74,20170804,0.795,0.798,0.78915,0.79265,,,
75,20170807,0.79205,0.7949,0.78995,0.79125,,,
76,20170808,0.7913,0.7943,0.7887,0.79145,,,
77,20170809,0.79145,0.7915,0.78555,0.78885,,,
78,20170810,0.78875,0.7911,0.7867,0.7875,,,
79,20170811,0.7875,0.79095,0.7839,0.78945,,,
80,20170814,0.7893,0.7919,0.7845,0.7852,,,
81,20170815,0.7851,0.7877,0.7808,0.78205,,,
82,20170816,0.78225,0.7934,0.7817,0.7925,,,
83,20170817,0.793,0.7963,0.78805,0.7885,,,
84,20170818,0.7888,0.79445,0.787,0.79285,,,
85,20170821,0.79295,0.79505,0.7911,0.79395,,,
86,20170822,0.79385,0.7951,0.7898,0.79115,,,
87,20170823,0.7911,0.79185,0.78825,0.7904,,,
88,20170824,0.7906,0.7916,0.7867,0.79015,,,
89,20170825,0.79025,0.79545,0.78855,0.7936,,,
90,20170828,0.79285,0.7973,0.7926,0.7963,,,
91,20170829,0.79605,0.7983,0.7906,0.7951,,,
92,20170830,0.7952,0.7996,0.789,0.7904,,,
93,20170831,0.7905,0.795,0.78715,0.79465,,,
94,20170901,0.79475,0.79955,0.79215,0.797,,,
95,20170904,0.795,0.7973,0.7942,0.7944,,,
96,20170905,0.79445,0.80285,0.79425,0.7996,,,
97,20170906,0.79935,0.80215,0.79635,0.8,,,
98,20170907,0.80005,0.8049,0.79745,0.8047,,,
99,20170908,0.8046,0.8125,0.8043,0.8053,,,
100,20170911,0.80565,0.80585,0.80185,0.8029,,,
101,20170912,0.80275,0.80495,0.7998,0.80195,,,
102,20170913,0.8021,0.8044,0.79705,0.79855,,,
103,20170914,0.7984,0.80165,0.79555,0.8005,,,
104,20170915,0.80025,0.80355,0.7987,0.8003,,,
105,20170918,0.79975,0.80355,0.794,0.79625,,,
106,20170919,0.7959,0.802,0.79585,0.80105,,,
107,20170920,0.80105,0.81035,0.7986,0.80315,,,
108,20170921,0.80295,0.80365,0.7917,0.7931,,,
109,20170922,0.7933,0.79865,0.7908,0.7959,,,
110,20170925,0.79515,0.7974,0.79265,0.79365,,,
111,20170926,0.79365,0.7949,0.78595,0.7886,,,
112,20170927,0.7886,0.7889,0.78365,0.7849,,,
113,20170928,0.785,0.78605,0.77995,0.7856,,,
114,20170929,0.7856,0.7856,0.7817,0.78345,,,
115,20171002,0.78355,0.7848,0.77955,0.7827,,,
116,20171003,0.7829,0.78385,0.77855,0.78355,,,
117,20171004,0.78335,0.7875,0.783,0.78625,,,
118,20171005,0.7861,0.78655,0.7787,0.77955,,,
119,20171006,0.77945,0.77985,0.7733,0.777,,,
120,20171009,0.77745,0.77825,0.77475,0.77535,,,
121,20171010,0.7755,0.7797,0.775,0.7778,,,
122,20171011,0.7778,0.7809,0.7771,0.7789,,,
123,20171012,0.7788,0.7836,0.77865,0.782,,,
124,20171013,0.7822,0.78975,0.78205,0.789,,,
125,20171016,0.7887,0.789,0.7843,0.7851,,,
126,20171017,0.78505,0.7861,0.78185,0.7846,,,
127,20171018,0.7845,0.78585,0.7819,0.78465,,,
128,20171019,0.7847,0.7884,0.7841,0.78785,,,
129,20171020,0.78795,0.78825,0.78085,0.78175,,,
130,20171023,0.7814,0.78345,0.7796,0.78065,,,
131,20171024,0.7808,0.7825,0.77705,0.7776,,,
132,20171025,0.77765,0.7784,0.76905,0.77035,,,
133,20171026,0.7707,0.77195,0.76555,0.76615,,,
134,20171027,0.7663,0.76795,0.7625,0.76775,,,
135,20171030,0.7675,0.7691,0.76555,0.7688,,,
136,20171031,0.7688,0.7699,0.764,0.76565,,,
137,20171101,0.7656,0.7696,0.76485,0.76755,,,
138,20171102,0.76765,0.773,0.7673,0.77135,,,
139,20171103,0.7715,0.77165,0.76395,0.76515,,,
140,20171106,0.765,0.76925,0.76385,0.76905,,,
141,20171107,0.769,0.77005,0.76275,0.76445,,,
142,20171108,0.7642,0.7685,0.7642,0.76765,,,
143,20171109,0.76795,0.7694,0.76495,0.76805,,,
144,20171110,0.7682,0.76955,0.7654,0.76595,,,
145,20171113,0.76515,0.7666,0.76165,0.7623,,,
146,20171114,0.7622,0.765,0.761,0.76315,,,
147,20171115,0.76295,0.76325,0.75735,0.75885,,,
148,20171116,0.7587,0.761,0.757,0.7588,,,
149,20171117,0.75895,0.7608,0.7536,0.7568,,,
150,20171120,0.7561,0.7574,0.7544,0.755,,,
151,20171121,0.7548,0.75905,0.75325,0.7578,,,
152,20171122,0.75765,0.76235,0.75555,0.7619,,,
153,20171123,0.7614,0.76385,0.7604,0.76255,,,
154,20171124,0.7627,0.76325,0.7607,0.76175,,,
155,20171127,0.7616,0.7645,0.7593,0.76025,,,
156,20171128,0.76035,0.762,0.7588,0.7595,,,
157,20171129,0.75985,0.7608,0.7552,0.75715,,,
158,20171130,0.757,0.75945,0.75565,0.7567,,,
159,20171201,0.75665,0.7639,0.75515,0.76115,,,
160,20171204,0.75915,0.7614,0.75795,0.75985,,,
161,20171205,0.75975,0.7654,0.75975,0.76075,,,
162,20171206,0.7606,0.76365,0.75585,0.75635,,,
163,20171207,0.75695,0.75695,0.75055,0.7511,,,
164,20171208,0.75095,0.75335,0.75015,0.75115,,,
165,20171211,0.7504,0.75455,0.75035,0.75265,,,
166,20171212,0.75265,0.758,0.75195,0.75585,,,
167,20171213,0.75625,0.76395,0.7553,0.76365,,,
168,20171214,0.76345,0.76795,0.76275,0.7666,,,
169,20171215,0.7665,0.76945,0.7638,0.76465,,,
170,20171218,0.76445,0.76775,0.7641,0.7663,,,
171,20171219,0.7661,0.7684,0.7646,0.7663,,,
172,20171220,0.7662,0.76795,0.76515,0.76665,,,
173,20171221,0.7666,0.77075,0.76535,0.7702,,,
174,20171222,0.7703,0.7721,0.77005,0.77165,,,
175,20171226,0.7723,0.773,0.77125,0.77275,,,
176,20171227,0.7728,0.7779,0.7724,0.77675,,,
177,20171228,0.777,0.78095,0.77655,0.77935,,,
178,20171229,0.77985,0.7825,0.77885,0.78025,,,
179,20180102,0.77995,0.7845,0.7799,0.78305,,,
180,20180103,0.7829,0.7845,0.78055,0.78355,,,
181,20180104,0.7836,0.78665,0.78145,0.78635,,,
182,20180105,0.78675,0.7875,0.7835,0.78645,,,
183,20180108,0.7865,0.78725,0.7827,0.78415,,,
184,20180109,0.78425,0.78645,0.78075,0.78235,,,
185,20180110,0.7822,0.7867,0.78085,0.78425,,,
186,20180111,0.78435,0.78945,0.7838,0.78915,,,
187,20180112,0.7892,0.79245,0.7848,0.7917,,,
188,20180115,0.79125,0.7979,0.79075,0.79655,,,
189,20180116,0.7964,0.7975,0.7937,0.79615,,,
190,20180117,0.79585,0.8023,0.79405,0.79695,,,
191,20180118,0.79655,0.8007,0.79415,0.8,,,
192,20180119,0.79995,0.8039,0.79825,0.79975,,,
193,20180122,0.8001,0.8027,0.7979,0.80175,,,
194,20180123,0.80145,0.803,0.79565,0.8,,,
195,20180124,0.79995,0.8083,0.79935,0.8062,,,
196,20180125,0.8054,0.8119,0.80115,0.8025,,,
197,20180126,0.80275,0.8136,0.8005,0.8111,,,
198,20180129,0.81045,0.81185,0.8074,0.8094,,,
199,20180130,0.80965,0.8114,0.80425,0.8082,,,
200,20180131,0.8086,0.8117,0.8035,0.8056,,,
201,20180201,0.80555,0.80675,0.79875,0.80395,,,
202,20180202,0.80385,0.8044,0.79185,0.79245,,,
203,20180205,0.79175,0.7954,0.7875,0.7878,,,
204,20180206,0.78815,0.79105,0.78355,0.79065,,,
205,20180207,0.7907,0.7908,0.7817,0.7823,,,
206,20180208,0.78185,0.78435,0.7776,0.77805,,,
207,20180209,0.77785,0.78305,0.7759,0.78145,,,
208,20180212,0.78155,0.7864,0.78095,0.7861,,,
209,20180213,0.7859,0.78765,0.7828,0.78595,,,
210,20180214,0.78565,0.79345,0.77735,0.7926,,,
211,20180215,0.79265,0.79665,0.7892,0.79445,,,
212,20180216,0.79405,0.7989,0.78925,0.7911,,,
213,20180219,0.7908,0.79355,0.78985,0.7913,,,
214,20180220,0.7915,0.79335,0.7874,0.78835,,,
215,20180221,0.7881,0.7903,0.7803,0.7804,,,
216,20180222,0.7804,0.786,0.77905,0.78455,,,
217,20180223,0.7846,0.78475,0.78045,0.7844,,,
218,20180226,0.78395,0.78935,0.7826,0.7855,,,
219,20180227,0.7854,0.78685,0.77835,0.7789,,,
220,20180228,0.779,0.78195,0.77605,0.77615,,,
221,20180301,0.7759,0.77695,0.77125,0.77565,,,
222,20180302,0.7757,0.7774,0.77375,0.77605,,,
223,20180305,0.7764,0.77705,0.7726,0.7765,,,
224,20180306,0.7764,0.78425,0.77565,0.78285,,,
225,20180307,0.78205,0.783,0.7772,0.7825,,,
226,20180308,0.78235,0.7839,0.7773,0.7789,,,
227,20180309,0.77845,0.7854,0.77765,0.78485,,,
228,20180312,0.7851,0.788,0.7848,0.78725,,,
229,20180313,0.7873,0.78975,0.7846,0.786,,,
230,20180314,0.7858,0.79165,0.78515,0.7877,,,
231,20180315,0.78755,0.78855,0.7795,0.77985,,,
232,20180316,0.77995,0.78045,0.771,0.77135,,,
233,20180319,0.77165,0.7726,0.7687,0.7718,,,
234,20180320,0.77185,0.7721,0.76785,0.76835,,,
235,20180321,0.7683,0.778,0.76725,0.77655,,,
236,20180322,0.7766,0.7786,0.7687,0.76935,,,
237,20180323,0.76955,0.7744,0.7687,0.76975,,,
238,20180326,0.7701,0.77505,0.7696,0.7747,,,
239,20180327,0.77465,0.77575,0.76755,0.7679,,,
240,20180328,0.76785,0.77025,0.76535,0.76625,,,
241,20180329,0.76615,0.76895,0.7643,0.7678,,,
242,20180330,0.7678,0.7707,0.76725,0.768,,,
243,20180402,0.76865,0.7695,0.765,0.76635,,,
244,20180403,0.76595,0.7707,0.76525,0.76845,,,
245,20180404,0.76855,0.77215,0.7663,0.77165,,,
246,20180405,0.7716,0.77265,0.7674,0.7684,,,
247,20180406,0.76835,0.76995,0.76575,0.7673,,,
248,20180409,0.76785,0.7711,0.7652,0.76975,,,
249,20180410,0.76975,0.7768,0.7694,0.7762,,,
250,20180411,0.77595,0.7773,0.77395,0.77525,,,
251,20180412,0.77585,0.77715,0.7738,0.7755,,,
252,20180413,0.77565,0.781,0.77525,0.7763,,,
253,20180416,0.7765,0.77835,0.7752,0.778,,,
254,20180417,0.77795,0.77915,0.77605,0.77655,,,
255,20180418,0.7773,0.77975,0.77445,0.77835,,,
256,20180419,0.77845,0.7813,0.7719,0.773,,,
257,20180420,0.773,0.77315,0.76555,0.7669,,,
258,20180423,0.76735,0.7683,0.75995,0.7605,,,
259,20180424,0.76055,0.7621,0.7579,0.7604,,,
260,20180425,0.7603,0.76065,0.7552,0.75645,,,
261,20180426,0.7565,0.7589,0.75465,0.75555,,,
262,20180427,0.75545,0.7584,0.7532,0.75805,,,
263,20180430,0.75775,0.7582,0.75255,0.75295,,,
264,20180501,0.75315,0.75465,0.74725,0.74905,,,
265,20180502,0.74895,0.75375,0.74755,0.7494,,,
266,20180503,0.7493,0.7543,0.74855,0.75325,,,
267,20180504,0.75325,0.75605,0.74925,0.75415,,,
268,20180507,0.75395,0.7543,0.7493,0.7514,,,
269,20180508,0.75145,0.7528,0.7434,0.74555,,,
270,20180509,0.74535,0.7473,0.7412,0.74595,,,
271,20180510,0.7463,0.754,0.7455,0.7533,,,
272,20180511,0.75325,0.7567,0.75225,0.7542,,,
273,20180514,0.75435,0.7565,0.7525,0.7526,,,
274,20180515,0.7524,0.75375,0.74475,0.7473,,,
275,20180516,0.7474,0.7523,0.74475,0.75155,,,
276,20180517,0.7518,0.7548,0.7498,0.7512,,,
277,20180518,0.7512,0.7528,0.74885,0.751,,,
278,20180521,0.75195,0.75865,0.7503,0.75805,,,
279,20180522,0.7583,0.76055,0.7566,0.75755,,,
280,20180523,0.75765,0.75825,0.75225,0.7561,,,
281,20180524,0.75615,0.7583,0.7542,0.75765,,,
282,20180525,0.7577,0.759,0.7543,0.75475,,,
283,20180528,0.75615,0.7581,0.754,0.75465,,,
284,20180529,0.7546,0.7553,0.7498,0.75055,,,
285,20180530,0.7505,0.7584,0.74765,0.75785,,,
286,20180531,0.75765,0.75935,0.7553,0.7568,,,
287,20180601,0.7566,0.7574,0.75145,0.7567,,,
288,20180604,0.75675,0.76665,0.7561,0.76475,,,
289,20180605,0.76485,0.7656,0.7595,0.7616,,,
290,20180606,0.7616,0.7677,0.76155,0.7668,,,
291,20180607,0.7667,0.7673,0.76125,0.7625,,,
292,20180608,0.76235,0.76275,0.75605,0.76005,,,
293,20180611,0.75915,0.7622,0.7591,0.761,,,
294,20180612,0.7609,0.7624,0.7566,0.7572,,,
295,20180613,0.7572,0.7609,0.75295,0.75785,,,
296,20180614,0.75785,0.75825,0.7475,0.74785,,,
297,20180615,0.7472,0.74805,0.7439,0.74395,,,
298,20180618,0.74405,0.74545,0.74135,0.7424,,,
299,20180619,0.74245,0.7427,0.73475,0.7381,,,
300,20180620,0.738,0.7409,0.7367,0.7368,,,
301,20180621,0.7372,0.7394,0.73455,0.7379,,,
302,20180622,0.738,0.7444,0.7374,0.7441,,,
303,20180625,0.74405,0.7444,0.73965,0.7414,,,
304,20180626,0.7414,0.7423,0.738,0.73945,,,
305,20180627,0.73935,0.74075,0.7323,0.73405,,,
306,20180628,0.7345,0.7362,0.733,0.73535,,,
307,20180629,0.73505,0.74095,0.73355,0.74065,,,
308,20180702,0.7405,0.74165,0.73105,0.73385,,,
309,20180703,0.73425,0.74045,0.73145,0.7386,,,
310,20180704,0.7385,0.74245,0.73745,0.73815,,,
311,20180705,0.738,0.7408,0.73615,0.7387,,,
312,20180706,0.73875,0.74445,0.7376,0.743,,,
313,20180709,0.74335,0.7484,0.74235,0.74675,,,
314,20180710,0.7465,0.7484,0.74305,0.74595,,,
315,20180711,0.74395,0.7447,0.7364,0.73665,,,
316,20180712,0.7371,0.742,0.73605,0.7408,,,
317,20180713,0.7408,0.7424,0.7368,0.74235,,,
318,20180716,0.74235,0.74425,0.7409,0.74205,,,
319,20180717,0.74215,0.74385,0.7376,0.73895,,,
320,20180718,0.7389,0.74075,0.73435,0.73975,,,
321,20180719,0.73975,0.7442,0.73225,0.7358,,,
322,20180720,0.73575,0.74315,0.7318,0.74145,,,
323,20180723,0.7421,0.7438,0.73715,0.7381,,,
324,20180724,0.73815,0.74345,0.73595,0.74195,,,
325,20180725,0.74195,0.74645,0.7392,0.7455,,,
326,20180726,0.74545,0.74635,0.7372,0.73765,,,
327,20180727,0.7381,0.74145,0.737,0.7402,,,
328,20180730,0.7404,0.74135,0.7386,0.7406,,,
329,20180731,0.7408,0.7441,0.7404,0.7427,,,
330,20180801,0.7426,0.7429,0.739,0.74045,,,
331,20180802,0.74035,0.74115,0.73555,0.7362,,,
332,20180803,0.73625,0.7412,0.73485,0.73975,,,
333,20180806,0.73975,0.74055,0.7374,0.73865,,,
334,20180807,0.7388,0.74395,0.7382,0.74215,,,
335,20180808,0.7419,0.74395,0.73835,0.7434,,,
336,20180809,0.74335,0.74535,0.73725,0.73725,,,
337,20180810,0.7375,0.738,0.72805,0.73015,,,
338,20180813,0.72745,0.73,0.72565,0.72695,,,
339,20180814,0.72735,0.72835,0.7224,0.72395,,,
340,20180815,0.7239,0.7248,0.72025,0.72395,,,
341,20180816,0.72405,0.72865,0.72155,0.72605,,,
342,20180817,0.72605,0.73195,0.7253,0.73135,,,
343,20180820,0.7316,0.7344,0.7296,0.73395,,,
344,20180821,0.73405,0.7382,0.7333,0.73655,,,
345,20180822,0.7364,0.7371,0.7334,0.7352,,,
346,20180823,0.73495,0.73525,0.72405,0.7247,,,
347,20180824,0.7248,0.73445,0.7238,0.7324,,,
348,20180827,0.73325,0.73565,0.73075,0.735,,,
349,20180828,0.73495,0.73625,0.73215,0.7337,,,
350,20180829,0.73355,0.7349,0.7275,0.73105,,,
351,20180830,0.73115,0.7315,0.72495,0.7265,,,
352,20180831,0.72665,0.7268,0.7176,0.7192,,,
353,20180903,0.7186,0.72235,0.7166,0.72135,,,
354,20180904,0.7213,0.72355,0.71575,0.7177,,,
355,20180905,0.71795,0.72185,0.71445,0.71925,,,
356,20180906,0.7193,0.7211,0.7166,0.71975,,,
357,20180907,0.72,0.7202,0.70985,0.7107,,,
358,20180910,0.7103,0.7132,0.7099,0.71145,,,
359,20180911,0.71135,0.7129,0.7085,0.7122,,,
360,20180912,0.7123,0.71825,0.70935,0.71705,,,
361,20180913,0.71695,0.72295,0.7168,0.7192,,,
362,20180914,0.71935,0.72165,0.71505,0.71545,,,
363,20180917,0.71545,0.71965,0.7142,0.71785,,,
364,20180918,0.7179,0.7224,0.7144,0.72195,,,
365,20180919,0.7219,0.7275,0.72135,0.7263,,,
366,20180920,0.7265,0.7293,0.7254,0.7292,,,
367,20180921,0.7292,0.7304,0.7263,0.72875,,,
368,20180924,0.72695,0.72815,0.7251,0.72525,,,
369,20180925,0.7252,0.7263,0.7236,0.725,,,
370,20180926,0.72515,0.73155,0.7241,0.72575,,,
371,20180927,0.7265,0.72685,0.72055,0.7207,,,
372,20180928,0.72075,0.72415,0.72025,0.72195,,,
373,20181001,0.7224,0.7232,0.7207,0.72235,,,
374,20181002,0.72215,0.7238,0.71625,0.7189,,,
375,20181003,0.71885,0.7197,0.71015,0.71025,,,
376,20181004,0.7105,0.71125,0.70655,0.70775,,,
377,20181005,0.70785,0.7087,0.70425,0.705,,,
378,20181008,0.70585,0.70815,0.70415,0.7078,,,
379,20181009,0.7078,0.7106,0.7054,0.71025,,,
380,20181010,0.7102,0.71305,0.70435,0.70555,,,
381,20181011,0.7052,0.71295,0.7052,0.71235,,,
382,20181012,0.7121,0.714,0.7102,0.7114,,,
383,20181015,0.71115,0.7149,0.7099,0.713,,,
384,20181016,0.7132,0.7152,0.7112,0.7141,,,
385,20181017,0.7143,0.716,0.71065,0.7109,,,
386,20181018,0.71105,0.7151,0.70975,0.7099,,,
387,20181019,0.7095,0.71505,0.7089,0.7118,,,
388,20181022,0.7122,0.71335,0.7076,0.7082,,,
389,20181023,0.70815,0.7091,0.70555,0.70855,,,
390,20181024,0.70855,0.71065,0.7059,0.706,,,
391,20181025,0.70585,0.70995,0.70565,0.70795,,,
392,20181026,0.70805,0.71045,0.7021,0.7089,,,
393,20181029,0.7093,0.7109,0.7051,0.7056,,,
394,20181030,0.70565,0.7122,0.70545,0.7105,,,
395,20181031,0.71035,0.7107,0.7068,0.7073,,,
396,20181101,0.70755,0.72125,0.7073,0.7206,,,
397,20181102,0.7207,0.72585,0.71825,0.71915,,,
398,20181105,0.7191,0.72185,0.71825,0.72105,,,
399,20181106,0.72115,0.72465,0.7205,0.72455,,,
400,20181107,0.724,0.73,0.7213,0.72765,,,
401,20181108,0.7276,0.73025,0.7247,0.7257,,,
402,20181109,0.7259,0.7271,0.72195,0.72265,,,
403,20181112,0.722,0.72375,0.7173,0.71735,,,
404,20181113,0.71755,0.7224,0.71645,0.7218,,,
405,20181114,0.7218,0.7254,0.7188,0.72315,,,
406,20181115,0.72335,0.72985,0.7229,0.7277,,,
407,20181116,0.72755,0.7338,0.72505,0.7333,,,
408,20181119,0.73125,0.7326,0.72775,0.72935,,,
409,20181120,0.72945,0.73005,0.72115,0.7214,,,
410,20181121,0.72135,0.72775,0.7203,0.7263,,,
411,20181122,0.7262,0.7268,0.72345,0.72545,,,
412,20181123,0.72535,0.7256,0.72185,0.72315,,,
413,20181126,0.7231,0.72765,0.7213,0.72205,,,
414,20181127,0.72165,0.72695,0.71995,0.72245,,,
415,20181128,0.72265,0.7328,0.72215,0.73055,,,
416,20181129,0.73075,0.73445,0.7295,0.73195,,,
417,20181130,0.73175,0.7326,0.72845,0.73075,,,
418,20181203,0.7371,0.73935,0.73465,0.7358,,,
419,20181204,0.73565,0.73935,0.7326,0.7338,,,
420,20181205,0.7341,0.7356,0.726,0.7269,,,
421,20181206,0.72735,0.7274,0.71915,0.72365,,,
422,20181207,0.72355,0.7242,0.71975,0.72065,,,
423,20181210,0.71955,0.7227,0.7178,0.71895,,,
424,20181211,0.7191,0.7225,0.7185,0.7205,,,
425,20181212,0.71995,0.7238,0.7199,0.7219,,,
426,20181213,0.7217,0.7247,0.72125,0.7227,,,
427,20181214,0.72265,0.72285,0.71515,0.7174,,,
428,20181217,0.71755,0.71875,0.7169,0.71805,,,
429,20181218,0.71805,0.72035,0.71655,0.71795,,,
430,20181219,0.7181,0.72005,0.70875,0.71085,,,
431,20181220,0.71105,0.7149,0.7086,0.7109,,,
432,20181221,0.7109,0.71235,0.7032,0.7036,,,
433,20181224,0.70385,0.7069,0.70345,0.70475,,,
434,20181226,0.70465,0.7072,0.70325,0.7067,,,
